Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43
10824,CA3672248346,1FDBW1XG0MKA43274,BA-011,3672248346,3672248346,1208,EDT,7/29/25 6:47:54 PM,7/29/25 3:47:54 PM MST,2025-07-29T22:47:54+00:00,2025-07-30 14:56:21,Jul 30 2025 05:13:26,42.3320038,-71.0765525,994782.0,Brewster Albany St,"845 Albany St, Roxbury, MA 02119-2511",0,,off,0,0,0,0,"Stopped 20 hrs, 8 min",red_dot,122130.9,13.3,0,unassigned,07/29/2025 15:47:54,[],[],,,,,,Albany,1.0,BLS,
10825,CA3672248667,1FDBW2XM8GKB03768,BA-012,3672248667,3672248667,23423,EDT,7/14/25 8:33:16 AM,7/14/25 5:33:16 AM MST,2025-07-14T12:33:16+00:00,2025-07-30 14:56:21,Jul 30 2025 08:13:41,42.0544583,-71.0141814,994783.0,Brewster Brockton Main St,"1531 Main St, Brockton, MA 02301-7113",0,,off,0,0,0,30,Stopped 16 days,red_dot,312297.0,12.1,0,unassigned,07/14/2025 05:33:16,[],[],,,,,,,,,
10826,CA3672241564,1FDBW2XM6GKB03767,BA-013,3672241564,3672241564,16,EDT,7/30/25 2:40:09 PM,7/30/25 11:40:09 AM MST,2025-07-30T18:40:09+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:16,42.100553,-71.0810444,,,"918 Sumner St, Stoughton, MA 02072-3339",23,NNE,on,0,0,0,0,Idle stop for 16 min,blue_dot,322568.7,13.7,5571366,assigned,07/30/2025 11:31:16,[],[],Jack,Valcovic,JValcovic,False,,Brockton Main St.,3.0,BLS,
10827,CA3672241579,1FDBW2XM6GKB03770,BA-014,3672241579,3672241579,1,EDT,7/30/25 2:55:02 PM,7/30/25 11:55:02 AM MST,2025-07-30T18:55:02+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:02,41.9424709,-70.644536,994793.0,B.I Plymouth,", Plymouth, MA 02360",117,ESE,on,0,0,0,0,0 mph ESE (max),green_dot,330589.1,13.7,0,unassigned,07/30/2025 11:53:52,[],[],,,,,,Brockton Main St.,3.0,BLS,
10828,CA3672234198,1FDBW2XM8GKB03771,BA-016,3672234198,3672234198,499,EDT,7/30/25 6:37:09 AM,7/30/25 3:37:09 AM MST,2025-07-30T10:37:09+00:00,2025-07-30 14:56:21,Jul 30 2025 03:37:09,41.9447263,-71.2704539,994785.0,Brewster Attleboro,"48 Eddy St, Attleboro, MA 02703-2406",1,N,off,0,0,0,0,"Stopped 8 hrs, 19 min",red_dot,309760.2,12.9,0,unassigned,07/30/2025 03:37:09,[],[],,,,,,Attleboro,4.0,BLS,
10829,CA3672248319,1FDBW2XM7GKB03762,BA-017,3672248319,3672248319,9,EDT,7/30/25 2:46:53 PM,7/30/25 11:46:53 AM MST,2025-07-30T18:46:53+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:01,41.651365,-70.9677151,,,"863 Hathaway Rd, New Bedford, MA 02740-1916",103,ESE,on,0,0,0,0,Idle stop for 9 min,blue_dot,346570.9,13.5,0,unassigned,07/30/2025 10:16:48,[],[],,,,,,New Bedford,4.0,BLS,
10830,CA3672234183,1FDBW2XM6GKA58412,BA-018,3672234183,3672234183,221,EDT,7/30/25 11:14:52 AM,7/30/25 8:14:52 AM MST,2025-07-30T15:14:52+00:00,2025-07-30 14:56:21,Jul 30 2025 11:50:26,41.7268587,-70.9531267,966832.0,Brewster N.Bedford,"213 Theodore Rice Blvd, New Bedford, MA 02745-1213",0,,off,0,0,0,0,"Stopped 3 hrs, 41 min",red_dot,435806.7,12.6,0,unassigned,07/30/2025 08:14:52,[],[],,,,,,Wareham,4.0,BLS,
10831,CA3672238954,1FDBW2XM2GKA58410,BA-019,3672238954,3672238954,58,EDT,7/30/25 1:58:15 PM,7/30/25 10:58:15 AM MST,2025-07-30T17:58:15+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:31,42.0870958,-70.9917868,994797.0,Brockton Hospital,", Brockton, MA 02302",77,ENE,on,0,0,0,0,Idle stop for 58 min,blue_dot,362863.9,13.5,5572243,assigned,07/30/2025 11:49:52,[],[],Dylan,Cicone,13719,False,,Brockton Main St.,3.0,BLS,
10832,CA3672248677,1FDBW1XGXMKA39622,BA-020,3672248677,3672248677,17,EDT,7/30/25 2:38:48 PM,7/30/25 11:38:48 AM MST,2025-07-30T18:38:48+00:00,2025-07-30 14:56:21,Jul 30 2025 11:38:48,42.3343625,-71.0719094,999902.0,BMC,"750 Albany St, Boston, MA 02118-2520",93,E,off,0,0,0,0,Stopped 17 min,yellow_dot,124975.2,12.9,0,unassigned,07/30/2025 11:38:48,[],[],,,,,,Albany,1.0,BLS,
10833,CA3672248655,1FDBW1XG7MKA43272,BA-021,3672248655,3672248655,0,EDT,7/30/25 2:55:28 PM,7/30/25 11:55:28 AM MST,2025-07-30T18:55:28+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:28,42.1914146,-71.1503413,,,"376 Dedham St, Canton, MA 02021-1439",155,SSE,on,41,20,31,40,31 mph SSE (41 max),green_dot,120868.5,13.5,5572294,assigned,07/30/2025 11:02:20,[],[],Dominic,Mears,11969,False,,Albany,1.0,BLS,
10834,CA3672249766,1FDBW1XGXMKA39619,BA-022,3672249766,3672249766,6,EDT,7/30/25 2:50:20 PM,7/30/25 11:50:20 AM MST,2025-07-30T18:50:20+00:00,2025-07-30 14:56:21,Jul 30 2025 11:50:20,42.3947739,-71.1122589,,,"31 Morrison Ave, Somerville, MA 02144-2317",94,E,off,0,0,0,20,Stopped 6 min,yellow_dot,136066.7,12.3,0,unassigned,07/30/2025 11:50:20,[],[],,,,,,Hyde Park,1.0,BLS,
10835,CA3672248661,1FDBW1XG2MKA42983,BA-023,3672248661,3672248661,1,EDT,7/30/25 2:54:51 PM,7/30/25 11:54:51 AM MST,2025-07-30T18:54:51+00:00,2025-07-30 14:56:21,Jul 30 2025 11:54:51,42.5299326,-70.9357871,,,"143 Lowell St, Peabody, MA 01960-4258",305,NW,on,12,7,0,35,0 mph NW (12 max),green_dot,139211.0,12.8,0,unassigned,07/30/2025 11:28:23,[],[],,,,,,Albany,1.0,BLS,
10836,CA3672233780,1FDBW1XG4PKB67665,BA-024,3672233780,3672233780,101,EDT,7/30/25 1:15:03 PM,7/30/25 10:15:03 AM MST,2025-07-30T17:15:03+00:00,2025-07-30 14:56:21,Jul 30 2025 10:15:03,42.0548076,-71.0132226,994783.0,Brewster Brockton Main St,"1555 Main St, Brockton, MA 02301-7113",345,NNW,off,0,0,0,0,"Stopped 1 hour, 41 min",red_dot,33803.2,13.2,0,unassigned,07/30/2025 10:15:03,[],[],,,,,,Brockton Main St.,3.0,BLS,
10837,CA3672241566,1FDBW2XM1GKA54526,BA-025,3672241566,3672241566,0,EDT,7/30/25 2:55:51 PM,7/30/25 11:55:51 AM MST,2025-07-30T18:55:51+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:51,42.5029994,-71.6904489,,,"1176 Lunenburg Rd, Lancaster, MA 01523-2715",141,SE,on,51,23,0,50,0 mph SE (51 max),green_dot,298886.0,13.4,5568480,assigned,07/30/2025 11:16:22,[],[],Joel,Arsenault,12009,False,,Brockton Main St.,3.0,BLS,
10838,CA3672234190,1FDBW2XMXGKA58414,BA-026,3672234190,3672234190,25,EDT,7/30/25 2:30:59 PM,7/30/25 11:30:59 AM MST,2025-07-30T18:30:59+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:17,41.9065216,-71.0947008,994801.0,Morton Hospital,"88 Washington St, Taunton, MA 02780-2465",206,SSW,on,0,0,0,0,Idle stop for 25 min,blue_dot,408006.5,13.6,0,unassigned,07/30/2025 11:54:19,[],[],,,,,,Attleboro,4.0,BLS,Spare
10839,CA3672241463,1FDBW2XM4GKA58411,BA-027,3672241463,3672241463,0,EDT,7/30/25 2:55:51 PM,7/30/25 11:55:51 AM MST,2025-07-30T18:55:51+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:51,42.334921,-71.0897393,,,"207 Ruggles St, Roxbury Crossing, MA 02120",330,NNW,on,16,12,16,25,16 mph NNW (max),green_dot,290535.2,13.4,5570034,assigned,07/30/2025 11:47:44,[],[],Tenzin,Mulug-Labrang,tmuluglabrang,False,,Albany,1.0,BLS,
10840,CA3672248341,1FDBW1XG6PKB23618,BA-028,3672248341,3672248341,0,EDT,7/30/25 2:55:38 PM,7/30/25 11:55:38 AM MST,2025-07-30T18:55:38+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:38,42.2509166,-71.0581434,,,"314 Pleasant St, Milton, MA 02186-4732",258,WSW,on,39,27,23,30,23 mph WSW (39 max),green_dot,70459.1,13.6,0,unassigned,07/30/2025 11:07:45,[],[],,,,,,Weymouth,2.0,BLS,
10841,CA3672240049,1FDBW2XG1PKA45559,BA-029,3672240049,3672240049,225,EDT,7/30/25 11:11:01 AM,7/30/25 8:11:01 AM MST,2025-07-30T15:11:01+00:00,2025-07-30 14:56:21,Jul 30 2025 08:11:01,42.2095538,-70.9583089,,,"416 Washington St, Weymouth, MA 02188-2909",47,NE,off,0,0,0,35,"Stopped 3 hrs, 45 min",red_dot,107558.8,12.6,0,unassigned,07/30/2025 08:11:01,[],[],,,,,,New Bedford,4.0,BLS,
10842,CA3672244896,1FDBW1XG1PKA3086,BA-030,3672244896,3672244896,0,EDT,7/30/25 2:55:43 PM,7/30/25 11:55:43 AM MST,2025-07-30T18:55:43+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:43,42.2956316,-71.787062,,,"40 North Pkwy, Worcester, MA 01605-1323",260,W,on,30,30,28,0,28 mph W (30 max),green_dot,51165.6,13.6,0,unassigned,07/30/2025 10:54:47,[],[],,,,,,Framingham,6.0,BLS,Spare
10843,CA3672233658,1FDBW1XG0PKA93094,BA-031,3672233658,3672233658,0,EDT,7/30/25 2:55:55 PM,7/30/25 11:55:55 AM MST,2025-07-30T18:55:55+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:55,42.4930438,-71.0165167,,,"Newburyport Tpke, Saugus, MA 01906",186,S,on,59,56,53,50,53 mph S (59 max),green_dot,47766.5,13.7,5564097,assigned,07/30/2025 11:06:30,[],[],james,byron,3824,False,,Quincy WA,2.0,BLS,
10844,CA3672240122,1FDBW2XGXPKA39596,BA-033,3672240122,3672240122,0,EDT,7/30/25 2:55:53 PM,7/30/25 11:55:53 AM MST,2025-07-30T18:55:53+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:53,42.5460524,-71.1360331,,,"I-93, Wilmington, MA 01887",169,S,on,69,64,55,65,55 mph S (69 max),bright_green_dot,87061.6,13.7,0,unassigned,07/30/2025 09:24:10,[],[],,,,,,Brockton Main St.,3.0,BLS,
10845,CA3672249647,1FDBW1XG1PKB07844,BA-034,3672249647,3672249647,1754,EDT,7/29/25 9:42:11 AM,7/29/25 6:42:11 AM MST,2025-07-29T13:42:11+00:00,2025-07-30 14:56:21,Jul 30 2025 10:00:44,42.0542306,-71.0139462,994783.0,Brewster Brockton Main St,"35 Thayer Ave, Brockton, MA 02301-7079",0,,off,0,0,0,0,"Stopped 1 day, 5 hrs",red_dot,72095.9,12.0,0,unassigned,07/29/2025 06:42:11,[],[],,,,,,Hyde Park,1.0,BLS,
10846,CA3672245077,1FDBW1XG2PKA93095,BA-035,3672245077,3672245077,2,EDT,7/30/25 2:54:20 PM,7/30/25 11:54:20 AM MST,2025-07-30T18:54:20+00:00,2025-07-30 14:56:21,Jul 30 2025 11:54:20,42.2850229,-71.0405337,,,"Neponset Brg, Dorchester, MA 02122",306,NW,on,44,13,0,30,0 mph NW (44 max),green_dot,60619.1,13.7,5572295,assigned,07/30/2025 09:30:07,[],[],Zander,Roberts,11966,False,,Hyde Park,1.0,BLS,
10847,CA3672248664,1FDBW2XG3PKA39889,BA-036,3672248664,3672248664,0,EDT,7/30/25 2:56:19 PM,7/30/25 11:56:19 AM MST,2025-07-30T18:56:19+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:19,42.7776253,-71.0764345,,,"16 Summer St, Haverhill, MA 01830-5824",76,ENE,on,27,17,22,0,22 mph ENE (27 max),green_dot,85163.3,13.6,5569552,assigned,07/30/2025 09:57:12,[],[],Adam,Botsch,13340,False,,Obery,2.0,BLS,
10848,CA3672239830,1FDBW2XG1PKA45545,BA-037,3672239830,3672239830,0,EDT,7/30/25 2:55:42 PM,7/30/25 11:55:42 AM MST,2025-07-30T18:55:42+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:42,42.2806063,-71.2011672,,,"I-95, Needham, MA 02492",154,SSE,on,46,25,0,55,0 mph SSE (46 max),green_dot,63860.8,13.9,5565107,assigned,07/30/2025 11:40:41,[],[],Joao,Costa,11425,False,,Obery,2.0,BLS,
10849,CA3672255844,1FDBW2XG7PKA45548,BA-038,3672255844,3672255844,2,EDT,7/30/25 2:54:02 PM,7/30/25 11:54:02 AM MST,2025-07-30T18:54:02+00:00,2025-07-30 14:56:21,Jul 30 2025 11:54:02,42.0883583,-71.0459428,,,"13 West St, Brockton, MA 02301",342,NNW,on,34,12,0,0,0 mph NNW (34 max),green_dot,65797.2,13.7,0,unassigned,07/30/2025 06:30:56,[],[],,,,,,Brockton Main St.,3.0,BLS,
10850,CA3672245094,1FDBW1XG6PKB67666,BA-039,3672245094,3672245094,8,EDT,7/30/25 2:48:06 PM,7/30/25 11:48:06 AM MST,2025-07-30T18:48:06+00:00,2025-07-30 14:56:21,Jul 30 2025 11:48:06,42.3611694,-71.4409913,,,"642 Boston Post Rd, Sudbury, MA 01776-3511",20,NNE,off,0,0,0,0,Stopped 8 min,yellow_dot,58080.3,13.3,0,unassigned,07/30/2025 11:48:06,[],[],,,,,,Framingham,6.0,BLS,
10851,CA3672022992,1FDBW1XG8PKB23619,BA-040,3672022992,3672022992,12,EDT,7/30/25 2:43:30 PM,7/30/25 11:43:30 AM MST,2025-07-30T18:43:30+00:00,2025-07-30 14:56:21,Jul 30 2025 11:43:30,42.3343541,-71.0719736,999902.0,BMC,"750 Albany St, Boston, MA 02118-2520",82,E,off,0,0,0,0,Stopped 12 min,yellow_dot,59946.4,12.9,0,unassigned,07/30/2025 11:43:30,[],[],,,,,,Weymouth,2.0,BLS,
10852,CA3672248330,1FDWE3FN2NDC21918,BA-041,3672248330,3672248330,0,EDT,7/30/25 2:56:20 PM,7/30/25 11:56:20 AM MST,2025-07-30T18:56:20+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:20,42.1755615,-72.4160485,,,"1309 East St, Ludlow, MA 01056-1526",98,E,on,45,41,41,35,41 mph E (45 max),green_dot,118817.9,12.5,5569063,assigned,07/30/2025 11:22:12,[],[],Kataryna,Bucko,13148,False,,Weymouth,1.0,BLS,
10853,CA3672244268,1FDBW1XG3PKA93090,BA-042,3672244268,3672244268,33535,EDT,7/7/25 8:01:14 AM,7/7/25 5:01:14 AM MST,2025-07-07T12:01:14+00:00,2025-07-30 14:56:21,Jul 07 2025 05:01:14,42.3611371,-71.0611587,,,"Sudbury St, Boston, MA 02114",221,SW,on,23,8,0,0,Out of Range 23 days,orange_dot,62776.6,13.4,0,unassigned,07/11/2025 07:31:49,[],[],,,,,,Hyde Park,1.0,BLS,Spare
10854,CA3672243019,1FDBW1XG4MKA42984,BA-043,3672243019,3672243019,975,EDT,7/29/25 10:40:31 PM,7/29/25 7:40:31 PM MST,2025-07-30T02:40:31+00:00,2025-07-30 14:56:21,Jul 30 2025 11:35:20,42.0541647,-71.013638,994783.0,Brewster Brockton Main St,"35 Thayer Ave, Brockton, MA 02301-7079",220,SW,off,0,0,0,0,"Stopped 16 hrs, 15 min",red_dot,138334.3,0.1,0,unassigned,07/29/2025 19:40:31,[],[],,,,,,Brockton Main St.,3.0,BLS,
10855,CA3672241400,1FDBW1XG2MKA39632,BA-044,3672241400,3672241400,0,EDT,7/30/25 2:55:39 PM,7/30/25 11:55:39 AM MST,2025-07-30T18:55:39+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:39,42.0198119,-70.9766545,,,"461 West St, East Bridgewater, MA 02333-1815",279,W,on,29,17,29,40,29 mph W (max),green_dot,125339.9,13.6,0,unassigned,07/30/2025 08:16:28,[],[],,,,,,Brockton Main St.,3.0,BLS,
10856,CA3672249240,1FDBW1XG7PKB67661,BA-046,3672249240,3672249240,0,EDT,7/30/25 2:56:09 PM,7/30/25 11:56:09 AM MST,2025-07-30T18:56:09+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:09,42.2475039,-70.9963106,,,"12 S Walnut St, Quincy, MA 02169-6863",121,ESE,on,11,10,4,0,4 mph ESE (11 max),green_dot,48698.9,13.5,5564317,assigned,07/30/2025 10:54:52,[],[],Matthew,Lees,9960,False,,Weymouth,2.0,BLS,
10857,CA3672249466,1FDBW2XG4PKA34085,BA-047,3672249466,3672249466,1,EDT,7/30/25 2:54:50 PM,7/30/25 11:54:50 AM MST,2025-07-30T18:54:50+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:50,41.9420131,-70.6456429,994793.0,B.I Plymouth,", Plymouth, MA 02360",328,NNW,on,4,0,0,0,0 mph NNW (4 max),green_dot,108679.7,13.6,5567929,assigned,07/30/2025 11:02:11,[],[],BRAEDYN,DEMARCO,11948,False,,Obery,2.0,BLS,
10858,CA3672244954,1FDSS3ES6CDA18381,BA-048,3672244954,3672244954,0,EDT,7/30/25 2:56:20 PM,7/30/25 11:56:20 AM MST,2025-07-30T18:56:20+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:20,42.1823331,-71.8701823,,,"Masonic Cir, Auburn, MA 01501",250,WSW,on,12,9,9,0,9 mph WSW (12 max),green_dot,324359.9,13.2,5569299,assigned,07/30/2025 11:31:49,[],[],Alessandra,Vanaria,avanaria,False,,,,,
10859,CA3672234200,1FDWE3FN6NDC2012,BA-049,3672234200,3672234200,1,EDT,7/30/25 2:54:26 PM,7/30/25 11:54:26 AM MST,2025-07-30T18:54:26+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:36,42.3624616,-71.0702303,999898.0,MGH,"243 Charles St, Boston, MA 02114",124,SE,on,0,0,0,0,0 mph SE (max),green_dot,203046.4,12.8,5569834,assigned,07/30/2025 11:54:36,[],[],SEAN,CAMPBELL,13385,False,,Obery,2.0,BLS,
10860,CA3672245065,1FDBW1XG7PKB07847,BA-050,3672245065,3672245065,9,EDT,7/30/25 2:47:15 PM,7/30/25 11:47:15 AM MST,2025-07-30T18:47:15+00:00,2025-07-30 14:56:21,Jul 30 2025 11:47:15,42.0877097,-70.991933,994797.0,Brockton Hospital,", Brockton, MA 02302",202,SSW,off,0,0,0,0,Stopped 9 min,yellow_dot,42821.9,13.6,0,unassigned,07/30/2025 11:47:15,[],[],,,,,,Brockton Main St.,3.0,BLS,
10861,CA3672238956,1FDBW1XG8PKB23619,BA-051,3672238956,3672238956,0,EDT,7/30/25 2:55:27 PM,7/30/25 11:55:27 AM MST,2025-07-30T18:55:27+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:27,42.4629403,-71.072697,,,"189 Lynn Fells Pkwy, Melrose, MA 02176-1744",91,E,on,41,37,37,30,37 mph E (41 max),green_dot,68382.5,13.6,5569515,assigned,07/30/2025 11:55:48,[],[],JOSEPH,DEBESSE,13172,False,,Obery,2.0,BLS,
10862,CA3672241559,1FDBW1XG5PKA93091,BA-052,3672241559,3672241559,42,EDT,7/30/25 2:14:14 PM,7/30/25 11:14:14 AM MST,2025-07-30T18:14:14+00:00,2025-07-30 14:56:21,Jul 30 2025 11:14:14,42.364125,-71.0692378,999898.0,MGH,"100 Blossom St, Boston, MA 02114-2606",107,ESE,off,0,0,0,0,Stopped 42 min,yellow_dot,66725.3,12.9,0,unassigned,07/30/2025 11:14:14,[],[],,,,,,Hyde Park,1.0,BLS,
10863,CA3672248656,1FDYR2XM1GKA58402,BA-054,3672248656,3672248656,0,EDT,7/30/25 2:55:25 PM,7/30/25 11:55:25 AM MST,2025-07-30T18:55:25+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:25,42.1434059,-70.8300069,,,"RT-3, Norwell, MA 02061",307,NW,on,68,62,68,60,68 mph NW (max),bright_green_dot,414304.6,13.6,5572228,assigned,07/30/2025 11:31:42,[],[],John,Mueller,13720,False,,Obery,2.0,BLS,
10864,CA3672244912,1FDBW1XG9PKB67662,BA-056,3672244912,3672244912,0,EDT,7/30/25 2:55:50 PM,7/30/25 11:55:50 AM MST,2025-07-30T18:55:50+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:50,42.3267089,-71.1522769,,,"Boylston St, Chestnut Hill, MA 02467",255,WSW,on,28,13,0,40,0 mph WSW (28 max),green_dot,89438.0,13.6,5571857,assigned,07/30/2025 11:35:14,[],[],Nickolas,Bernier-Garzon2,13617,False,,Framingham,6.0,BLS,
10865,CA3672233549,1FDSS3ES9DDA43941,BA-057,3672233549,3672233549,1167,EDT,7/29/25 7:28:37 PM,7/29/25 4:28:37 PM MST,2025-07-29T23:28:37+00:00,2025-07-30 14:56:21,Jul 30 2025 05:35:42,41.9446962,-71.2707238,994785.0,Brewster Attleboro,"48 Eddy St, Attleboro, MA 02703-2406",192,SSW,off,0,0,0,0,"Stopped 19 hrs, 27 min",red_dot,377065.4,12.7,0,unassigned,07/29/2025 16:28:37,[],[],,,,,,,,,Spare
10866,CA3672239953,1FDBW2XG4PKA45538,BA-058,3672239953,3672239953,286,EDT,7/30/25 10:10:18 AM,7/30/25 7:10:18 AM MST,2025-07-30T14:10:18+00:00,2025-07-30 14:56:21,Jul 30 2025 09:50:56,41.9442638,-70.6474642,994794.0,Plymouth Obery St,"16 Obery St, Plymouth, MA 02360-2130",0,,off,0,0,0,0,"Stopped 4 hrs, 46 min",red_dot,156705.9,13.4,0,unassigned,07/30/2025 07:10:18,[],[],,,,,,Obery,2.0,BLS,
